Customer_ID,Campaign_ID,Promotion_Type,Sent_Date,Click_Status,Click_Date
C002,SAV2025,,2/1/2025 18:22,YES,25/4/2025 13:37
C014,,App,1/9/2025 5:08,NO,
C029,SAV2025,Social,2/2/2025,NO,
C017,SAV2025,Social,29/1/2025 20:52,YES,16/8/2025 19:59
C016,SAV2025,Email,1/1/2025 1:03,YES,2/5/2025
C001,UPG2025,Push,11/4/2025 4:26,NO,
C042,UPG2025,Push,1/8/2025 19:11,YES,25/1/2025 23:50
NULL,CC2025,Social,12/8/2025 23:58,999999999,
C012,SAV2025,Push,23/2/2025,YES,15/5/2025 22:03
C044,CC2025,App,25/9/2025,NO,
C006,UPG2025,NULL,8/1/2025,NO,
C011,NULL,Social,17/6/2025 6:56,NO,
C041,unknown,SMS,29/8/2025 15:53,YES,14/1/2025 13:46
C014,CC2025,SMS,9/2/2025 18:58,YES,27/2/2025
C010,UPG2025,Email,15/1/2025 0:02,NO,
999999999,SAV2025,App,24/1/2025 2:54,NaN,3/2/2025 22:24
C014,SAV2025,-9999,18/1/2025,NULL,
,UPG2025,App,28/5/2025 15:06,,
???,undefined,SMS,22/6/2025 13:16,YES,25/5/2025
C050,undefined,Social,15/9/2025 15:54,,
NULL,unknown,Push,23/9/2025 3:22,YES,21/4/2025
C019,SAV2025,Email,12/8/2025 0:33,NO,
C001,NULL,undefined,9/9/2025,NO,
C038,???,Email,21/9/2025,YES,20/4/2025 22:14
C041,SAV2025,SMS,9/9/2025,NO,
C007,CC2025,SMS,22/7/2025 23:05,,
C014,CC2025,Push,15/5/2025 13:57,YES,30/4/2025 14:08
C042,SAV2025,Social,28/6/2025 18:20,???,
C043,UPG2025,Push,15/6/2025 5:29,,
C015,SAV2025,Push,21/6/2025,unknown,9/4/2025
C010,UPG2025,SMS,21/3/2025 7:46,YES,24/3/2025
C047,SAV2025,SMS,26/3/2025 21:06,YES,17/3/2025 9:46
C013,SAV2025,App,24/2/2025,YES,7/1/2025
C033,UPG2025,,1/6/2025 14:01,NO,
C001,UPG2025,Social,5/5/2025 13:44,error,
C015,UPG2025,Social,28/4/2025,YES,10/6/2025
C016,CC2025,App,22/3/2025 8:54,unknown,29/7/2025
999999999,CC2025,Email,6/1/2025 12:53,NO,
C017,UPG2025,Push,22/4/2025,NO,
???,,,22/8/2025,YES,9/7/2025 16:21
C014,,unknown,5/4/2025,YES,2/7/2025 20:03
